symbol,time,assets,owner,shares,underlying,caller,tx,chain,contract,block
aave2-CLR-S,1654549123,5e-10,0xF07Ba2229b4Da47895ce0a4Ab4298ad7F8Cb3a4D,500,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xF07Ba2229b4Da47895ce0a4Ab4298ad7F8Cb3a4D,0xfdd316f88d5695a786da063ddf2e347052ef7de92938b43658cac35be5af5496,ethereum,0xF9f875BD4B1BC19693fe3Fe3C719f9deb11a2637,14917015
xMPL,1654494342,1075.294474,0x13E856DE31dcCF0280802cD291b2C7c882d73D0C,1073.918049,0x33349B282065b0284d756F0577FB39c158F935e6,0x13E856DE31dcCF0280802cD291b2C7c882d73D0C,0xe5efe62cc143af524e641402e145e09e3b805e8fdda5bddea25fe9a67097f140,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14913295
uCVX,1654439691,1000,0xD78C8e543Dce46a07F9C6F5B4652D2d90614cA18,999.0790355,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x62f3bb6f7707e44525d520c2091e16e740bdccfadd025542a7d8642b5cd02f98,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14909635
xMPL,1654231658,56.64401462,0xf8f97B82b00FCd974F90555D832384584933C49b,56.59460495,0x33349B282065b0284d756F0577FB39c158F935e6,0xf8f97B82b00FCd974F90555D832384584933C49b,0x849d6148d0c5adc0200075ad4a0b10ee579e74206fbb76b437d338f4952c7a48,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14895175
xMPL,1654241316,9366.602577,0xEE59a47432A0FF45557ee4906a31459aBd114286,9358.262038,0x33349B282065b0284d756F0577FB39c158F935e6,0xEE59a47432A0FF45557ee4906a31459aBd114286,0x1206d34501d97123d3412ade3b253863b38ad7fa83b234fed0deb0c91b964559,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14895834
xMPL,1654506213,10402.0697,0xad9ee9cb7bB3F06cB8F6D3106bB5d798B61477ed,10388.57255,0x33349B282065b0284d756F0577FB39c158F935e6,0xad9ee9cb7bB3F06cB8F6D3106bB5d798B61477ed,0x65d08d206cffae29c70b8bf14891b96efc76e31c940fd3726a41f3e6c059d3ca,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14914096
vTHOR,1654440831,2000,0x27B6e2f1c098dDbD9D4EF6f090420fF11767Cbfe,1775.26362,0xa5f2211B9b8170F694421f2046281775E8468044,0x27B6e2f1c098dDbD9D4EF6f090420fF11767Cbfe,0xc8bff2c9857d99f8ae220c7e4f569be37cc58bfeda725790d4f22ba35f1e465a,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14909717
xMPL,1654694162,1704.73,0xBC1796B4d9D112De8CF29849EE3e732FFD27d4d8,1702.122835,0x33349B282065b0284d756F0577FB39c158F935e6,0xBC1796B4d9D112De8CF29849EE3e732FFD27d4d8,0x0a26aba5dfa881fc3a870eb488671470811d8b6402eead595b5d7401d2401695,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14926886
xMPL,1654509262,6231.684762,0xe3534F90E367F5bd62AF306d9F36804a82ba6cAc,6223.571027,0x33349B282065b0284d756F0577FB39c158F935e6,0xe3534F90E367F5bd62AF306d9F36804a82ba6cAc,0x4ba332454e266aabad0897e96b130d4ef16de47dd9c19f1954cccee3f858d855,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14914314
xMPL,1654508869,821.9414188,0xD69a9068ebc98cA6f27ac92f45fFDce464719942,820.8717135,0x33349B282065b0284d756F0577FB39c158F935e6,0xD69a9068ebc98cA6f27ac92f45fFDce464719942,0x9c1c12a08ad6e041618f5cee721949e57cbb0c82216befb9693bae23a1f2fb31,ethereum,0x4937A209D4cDbD3ecD48857277cfd4dA4D82914c,14914285
vTHOR,1654443240,1031.832001,0x5Cf65647A88b8Fe85bFBF7689A9E57c004B1bcb3,915.8869062,0xa5f2211B9b8170F694421f2046281775E8468044,0x5Cf65647A88b8Fe85bFBF7689A9E57c004B1bcb3,0x8e8e31d936c69240214d39fb44d54e0528b3cfca5d3c46fb44d55b8508d3f999,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14909904
vTHOR,1654551455,5873.198884,0x8c26D950e5D40660fD7E37E563B04672b3A73607,5196.438098,0xa5f2211B9b8170F694421f2046281775E8468044,0x8c26D950e5D40660fD7E37E563B04672b3A73607,0x757ecfcc913c6f1135f9e26c4b81ad90306637ef920c78bcc3fe3b0112b50aaf,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14917169
uCVX,1654503877,216,0xAaDDC55883b7DF9944D54C20f2822f476673cBC0,215.8010717,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x2e968f73e6a2f7f9c9704353261ed81f8d6901abd78b3403a8f5f36078454d18,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14913952
vTHOR,1654604706,626,0xb1E77222AacAfD5D409319fF7db25CC114416869,553.1848887,0xa5f2211B9b8170F694421f2046281775E8468044,0xb1E77222AacAfD5D409319fF7db25CC114416869,0xab0955104c46bbfd1ef4bcefc6d9a485f9f1aec2d749464e09ec96912f2898a5,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14920793
vTHOR,1654582921,121069.7523,0x242bC7B9319C2eA4F5bd8b75277e1c858Bca6721,107119.0481,0xa5f2211B9b8170F694421f2046281775E8468044,0x242bC7B9319C2eA4F5bd8b75277e1c858Bca6721,0x30250a365c1555a20448794aa8d5ff405be524ad4ab422b1c65c606d78b8a549,ethereum,0x815C23eCA83261b6Ec689b60Cc4a58b54BC24D8D,14919303
imUSD,1654604511,88.1248595,0x0CA7A25181FC991e3cC62BaC511E62973991f325,744.0639909,0xe2f2a5C287993345a840Db3B0845fbC70f5935a5,0x0CA7A25181FC991e3cC62BaC511E62973991f325,0x1c61c1a01f5f17ed5501129171d55c66e9fe145775eea83274fc4d24d879b63b,ethereum,0x30647a72Dc82d7Fbb1123EA74716aB8A317Eac19,14920783
uCVX,1654587955,71.49654154,0x9D0F63a1f277F96Fa7361AF622B0d719B22A37F5,71.43069577,0xBCe0Cf87F513102F22232436CCa2ca49e815C3aC,0x35A398425d9f1029021A92bc3d2557D42C8588D7,0x8ee9514d7bd2c0faaf701d5d92f7bdbe09c9802ad94b31842e6da1743a12455f,ethereum,0x8659Fc767cad6005de79AF65dAfE4249C57927AF,14919634
